,caseid_new,w4_xqualified,w4_status,w4_complete,w4_source,w4_duration,w4_HCMST_interview_fin_yrmo,w4_xtype,w4_xyear,w4_xmonth,w4_xmarry,w4_xlast,w4_xwave1_month,w4_xcivil,w4_xss,w4_q1,w4_q2,w4_quality,w4_attractive,w4_attractive_partner,w4_q3,w4_q4,w4_mbtiming_year,w4_mbtiming_month,w4_q5,w4_q6,w4_q7,w4_mar_year,w4_mar_month,w4_civ_year,w4_q8_a,w4_q8_b,w4_q9,w4_q10,w4_nonmbtiming_year,w4_nonmbtiming_month,relationship_quality_w4,w4_broke_up,w234_combo_breakup,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
10,32656,qualified for wave 4,Retired,No,,,,same-sex couple,2011.0,June,Unmarried partners,2.0,2.0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200710.0,No,,
11,33536,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,same-sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,Yes,,,Good,very attractive,very attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$150,000 to $174,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201207.0,Yes,200905.0,A few times a year
12,34341,qualified for wave 4,Withdrawn,Yes,On-line,221.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201007.0,No,200903.0,Never
13,35653,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
14,36493,unqualified for wave 4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201209.0,Yes,200903.0,Once a week
15,37656,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$40,000 to $49,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200908.0,
16,38895,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Not working - retired,Yes,201208.0,Yes,200903.0,
17,39415,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$60,000 to $74,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200904.0,
18,40335,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$85,000 to $99,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,
19,41505,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"Less than $5,000",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,Yes,201306.0,Yes,200903.0,Never
20,42645,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$20,000 to $24,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201306.0,Yes,200903.0,Never
21,43381,qualified for wave 4,Active,Yes,On-line,0.0,201303.0,same-sex couple,2011.0,April,Married,2.0,2.0,No,Yes,yes,yes,Excellent,slightly attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,1,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,
22,44486,qualified for wave 4,Withdrawn,Yes,On-line,4.0,201303.0,same-sex couple,2011.0,April,Married,2.0,2.0,Yes,No,no,,,moderately attractive,,divorce,I wanted the [divorce/separation] more,2012.0,December,,,,,,,,,,,,,,broke up,"broke up at wave 2, 3, or 4",Associate degree,Some college,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$85,000 to $99,999",Separated,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201107.0,No,200905.0,Once a year or less
23,45653,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201107.0,No,200904.0,A few times a year
24,46746,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,same-sex couple,2011.0,April,Married,2.0,2.0,No,Yes,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306.0,Yes,200903.0,
25,48225,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,More than once a week
26,49731,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,very attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",9th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Non-Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,
27,50605,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,More than once a week
28,51376,unqualified for wave 4,,,,,,same-sex couple,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Never
29,53436,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201108.0,No,200912.0,
30,54415,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$15,000 to $19,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201305.0,Yes,200903.0,Never
31,55365,unqualified for wave 4,,,,,,different sex couple,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Associate degree,Some college,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200904.0,A few times a year
32,55686,qualified for wave 4,Retired,Yes,Telephone,,201311.0,same-sex couple,2009.0,February,Unmarried partners,4.0,2.0,No,Yes,,,Excellent,moderately attractive,moderately attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200710.0,No,,
33,56536,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,same-sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,Yes,,,Good,moderately attractive,very attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,West,Mountain,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,
34,57485,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$35,000 to $39,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201107.0,No,200903.0,A few times a year
35,58295,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,slightly attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Never
36,59265,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,A few times a year
37,60743,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - retired,No,200906.0,No,200903.0,Once a week
38,62283,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$40,000 to $49,999",Divorced,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201106.0,No,200902.0,Once or twice a month
39,63435,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
40,64331,qualified for wave 4,Active,Yes,On-line,8.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,very attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a week
41,65446,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$20,000 to $24,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,201305.0,Yes,200903.0,
42,66345,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201309.0,Yes,200903.0,
43,66484,unqualified for wave 4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,No,201107.0,No,200902.0,
44,67535,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$20,000 to $24,999",Never married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,201306.0,Yes,200902.0,Never
45,68546,qualified for wave 4,Active,Yes,On-line,0.0,201303.0,same-sex couple,2011.0,April,Married,2.0,2.0,No,Yes,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$125,000 to $149,999",Living with partner,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200911.0,A few times a year
46,69311,qualified for wave 4,Active,Yes,On-line,1.0,201304.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Associate degree,Some college,"White, Non-Hispanic",No,6,A one-family house detached from any other house,"$25,000 to $29,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,1,0,5,Working - as a paid employee,Yes,201206.0,Yes,200906.0,Once a year or less
47,70603,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,200905.0,No,200905.0,A few times a year
48,71523,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$85,000 to $99,999",Divorced,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Never
49,72515,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$20,000 to $24,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,1,2,Not working - other,Yes,201308.0,Yes,200904.0,A few times a year
50,73603,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200905.0,No,200903.0,Once a week
51,74415,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$75,000 to $84,999",Never married,Non-Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200905.0,A few times a year
52,75621,qualified for wave 4,Do not call,No,,,,different sex couple,2010.0,March,Married,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201007.0,No,200903.0,Never
53,75685,unqualified for wave 4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - retired,Yes,201305.0,Yes,200903.0,
54,76832,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$25,000 to $29,999",Widowed,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,200904.0,No,200903.0,Once a year or less
55,77256,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011.0,April,Married,2.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201207.0,Yes,200902.0,A few times a year
56,78351,qualified for wave 4,Active,Yes,On-line,2.0,201304.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Fair,not at all attractive,slightly attractive,,,,,,,,,,,,,,,,,3.0,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201207.0,Yes,200903.0,
57,79405,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,201106.0,No,200902.0,Once a year or less
