,caseid_new,w5_duration,w5_source,w5_complete,w5_status,w5x_qualified,w5x_marry,w5x_last,w5x_year,w5x_civil,w5x_month,w5x_civyear,w5x_civmonth,w5_q1,w5_q2,w5_sex_frequency,w5_p_monogamy,w5_identity,w5_outness,w5_q3,w5_q4,w5_mbtiming_month,w5_mbtiming_year,w5_q5,w5_q6,w5_q7,w5_mar_year,w5_mar_month,w5_q8,w5_civ_year,w5_civ_month,w5_q9,w5_q10,w5_nonmbtiming_year,w5_nonmbtiming_month,w5_broke_up,w5_HCMST_interview_fin_yrmo,w2345_combo_breakup,responded_to_w234or5,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
20,42645,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house attached to one or more houses,"$20,000 to $24,999",Never married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,Never married,201405.0,Never married,201306.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
21,43381,,,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,43,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$175,000 or more",Married,201404.0,Yes,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,1,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200711.0
22,44486,,,,,not qualified for wave 5,married,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,March,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,54,45-54,45-59,Associate degree,Some college,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$85,000 to $99,999",Separated,201107.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,Separated,201107.0,Living with partner,201009.0,Living with partner,200904.0,Living with partner,200806.0
23,45653,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,201107.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,,,,,Divorced,201107.0,Divorced,201008.0,Divorced,200904.0,Divorced,200710.0
24,46746,2.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",gay,All or most of them,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes,79,75+,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,201406.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201406.0,Married,201306.0,Married,201207.0,Married,201107.0,Married,201007.0,Living with partner,200904.0,Living with partner,200710.0
25,48225,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,28,25-34,18-29,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$100,000 to $124,999",Married,201404.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
26,49731,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,79,75+,60+,9th grade,Less than high school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,201405.0,Yes,non-Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200710.0
27,50605,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,201405.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,0,2,Not working - retired,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201008.0,Never married,200904.0,Never married,200711.0
28,51376,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,43,35-44,30-44,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,1,3,A one-family house detached from any other house,"$85,000 to $99,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200712.0
29,53436,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,201108.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,Never married,201108.0,Never married,201011.0,Never married,200910.0,Living with partner,200710.0
30,54415,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,47,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$35,000 to $39,999",Never married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,Never married,201404.0,Never married,201305.0,Never married,201207.0,Never married,201112.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
31,55365,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,41,35-44,30-44,Associate degree,Some college,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$50,000 to $59,999",Never married,201305.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
32,55686,,,eligible but not completed,Do not call,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,November,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,74,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,200710.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,,,Living with partner,200710.0
33,56536,2.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,Once a month or less,"No, I expect [name] to have sex with other people besides me",lesbian,All or most of them,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,59,55-64,45-59,Bachelors degree,Bachelor's degree or higher,Hispanic,Female,1,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,201305.0,No,Metro,West,Mountain,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,Married,201305.0,Living with partner,201208.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200802.0
34,57485,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$35,000 to $39,999",Never married,201107.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
35,58295,0.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,35,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,1,0,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Living with partner,201007.0,Never married,200904.0,Never married,200710.0
36,59265,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,201405.0,Yes,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200712.0
37,60743,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,80,75+,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,200906.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Not working - retired,No,,,,,,,,,,,Divorced,200906.0,Divorced,200711.0
38,62283,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,34,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$40,000 to $49,999",Divorced,201106.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,Divorced,201106.0,Divorced,201007.0,Divorced,200904.0,Divorced,200801.0
39,63435,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200905.0,Never married,200810.0
40,64331,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,39,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Male,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,1,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
41,65446,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,50,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - self-employed,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Living with partner,200710.0
42,66345,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,201408.0,Yes,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,Never married,201408.0,Never married,201309.0,Never married,201208.0,Never married,201107.0,Never married,201008.0,Never married,200905.0,Never married,200711.0
43,66484,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,54,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,201107.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Not working - disabled,No,,,,,,,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Separated,200802.0
