caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,relationship_quality,attractive_self,attractive_partner,breakup_year_combo,breakup_month_combo,got_married?_new
1012583,1012583_4,disqualified,,,,,,,,,,,
1013451,1013451_4,qualified,no,,,,,,,,,,
1014645,1014645_4,disqualified,,,,,,,,,,,
1015371,1015371_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,
1016205,1016205_4,disqualified,,,,,,,,,,,
1017606,1017606_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1018641,1018641_4,qualified,no,,,,,,,,,,
1021791,1021791_4,qualified,yes,201311.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1022721,1022721_4,qualified,no,,,,,,,,,,
1023721,1023721_4,qualified,yes,201311.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1024643,1024643_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1025543,1025543_4,disqualified,,,,,,,,,,,
1026381,1026381_4,qualified,no,,,,,,,,,,
1029571,1029571_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
1030441,1030441_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1031721,1031721_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1032405,1032405_4,disqualified,,,,,,,,,,,
1033811,1033811_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1034483,1034483_4,qualified,no,,,,,,,,,,
1035596,1035596_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1036721,1036721_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1037633,1037633_4,qualified,yes,201311.0,still together,,,4.0,slightly attractive,slightly attractive,,,no
1038241,1038241_4,qualified,no,,,,,,,,,,
1039481,1039481_4,qualified,no,,,,,,,,,,
1040361,1040361_4,qualified,no,,,,,,,,,,
1041291,1041291_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1043811,1043811_4,qualified,yes,201303.0,still together,,,5.0,not at all attractive,very attractive,,,
1044601,1044601_4,qualified,no,,,,,,,,,,
1045611,1045611_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1046321,1046321_4,qualified,no,,,,,,,,,,
1047765,1047765_4,disqualified,,,,,,,,,,,
1048266,1048266_4,qualified,no,,,,,,,,,,
1050395,1050395_4,qualified,yes,201303.0,still together,,,3.0,slightly attractive,moderately attractive,,,no
1051525,1051525_4,disqualified,,,,,,,,,,,
1052595,1052595_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1054833,1054833_4,disqualified,,,,,,,,,,,
1055665,1055665_4,disqualified,,,,,,,,,,,
1057782,1057782_4,disqualified,,,,,,,,,,,
1058195,1058195_4,disqualified,,,,,,,,,,,
1059286,1059286_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,moderately attractive,,,no
1060515,1060515_4,disqualified,,,,,,,,,,,
1061491,1061491_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1062551,1062551_4,qualified,no,,,,,,,,,,
1064496,1064496_4,disqualified,,,,,,,,,,,
1065335,1065335_4,disqualified,,,,,,,,,,,
1067305,1067305_4,disqualified,,,,,,,,,,,
1069616,1069616_4,qualified,no,,,,,,,,,,
1070563,1070563_4,disqualified,,,,,,,,,,,
1072822,1072822_4,disqualified,,,,,,,,,,,
1073351,1073351_4,qualified,no,,,,,,,,,,
1074381,1074381_4,qualified,no,,,,,,,,,,
1075832,1075832_4,disqualified,,,,,,,,,,,
1076291,1076291_4,qualified,no,,,,,,,,,,
1078631,1078631_4,qualified,no,,,,,,,,,,
1079255,1079255_4,qualified,yes,201303.0,still together,2011.0,June,5.0,very attractive,very attractive,,,yes
1080831,1080831_4,qualified,no,,,,,,,,,,
1081505,1081505_4,disqualified,,,,,,,,,,,
1082842,1082842_4,disqualified,,,,,,,,,,,
1083446,1083446_4,qualified,yes,201304.0,still together,,,5.0,slightly attractive,moderately attractive,,,no
1084706,1084706_4,qualified,no,,,,,,,,,,
1085626,1085626_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1087551,1087551_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,moderately attractive,,,
1088515,1088515_4,disqualified,,,,,,,,,,,
1089563,1089563_4,disqualified,,,,,,,,,,,
1090535,1090535_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,no
1091712,1091712_4,qualified,no,,,,,,,,,,
1092291,1092291_4,qualified,yes,201305.0,still together,,,3.0,moderately attractive,moderately attractive,,,
1093441,1093441_4,qualified,no,,,,,,,,,,
1094453,1094453_4,disqualified,,,,,,,,,,,
1095573,1095573_4,disqualified,,,,,,,,,,,
1096341,1096341_4,qualified,no,,,,,,,,,,
1097281,1097281_4,qualified,no,,,,,,,,,,
1098406,1098406_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,moderately attractive,,,no
1099651,1099651_4,qualified,no,,,,,,,,,,
1100361,1100361_4,qualified,yes,201304.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1101471,1101471_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1102555,1102555_4,disqualified,,,,,,,,,,,
1103641,1103641_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1104541,1104541_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1105706,1105706_4,qualified,no,,,,,,,,,,
1106521,1106521_4,disqualified,,,,,,,,,,,
1107772,1107772_4,disqualified,,,,,,,,,,,
1109341,1109341_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1110421,1110421_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,moderately attractive,,,
1111291,1111291_4,qualified,yes,201303.0,broke up,,,,very attractive,,2012.0,January,
1112651,1112651_4,qualified,no,,,,,,,,,,
1113205,1113205_4,qualified,no,,,,,,,,,,
1114781,1114781_4,qualified,no,,,,,,,,,,
1115241,1115241_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1116792,1116792_4,disqualified,,,,,,,,,,,
1117535,1117535_4,disqualified,,,,,,,,,,,
1118711,1118711_4,qualified,no,,,,,,,,,,
1119781,1119781_4,qualified,no,,,,,,,,,,
1120295,1120295_4,disqualified,,,,,,,,,,,
1121235,1121235_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,April,
1122591,1122591_4,disqualified,,,,,,,,,,,
1123532,1123532_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1124611,1124611_4,qualified,no,,,,,,,,,,
1126643,1126643_4,disqualified,,,,,,,,,,,
1127351,1127351_4,qualified,no,,,,,,,,,,
1128705,1128705_4,disqualified,,,,,,,,,,,
1129655,1129655_4,disqualified,,,,,,,,,,,
1130254,1130254_4,qualified,yes,201304.0,broke up,,,,slightly attractive,,2013.0,January,
1131421,1131421_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,slightly attractive,,,
1132733,1132733_4,disqualified,,,,,,,,,,,
1133286,1133286_4,qualified,no,,,,,,,,,,
1134571,1134571_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1135451,1135451_4,qualified,no,,,,,,,,,,
1136341,1136341_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1137461,1137461_4,qualified,no,,,,,,,,,,
1138226,1138226_4,qualified,no,,,,,,,,,,
1139294,1139294_4,disqualified,,,,,,,,,,,
1140623,1140623_4,qualified,yes,201311.0,broke up,,,,moderately attractive,,2012.0,December,
1142643,1142643_4,disqualified,,,,,,,,,,,
1144612,1144612_4,disqualified,,,,,,,,,,,
1145473,1145473_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1146742,1146742_4,qualified,no,,,,,,,,,,
1147471,1147471_4,qualified,no,,,,,,,,,,
1148571,1148571_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2011.0,December,
1149591,1149591_4,qualified,yes,201303.0,still together,,,2.0,moderately attractive,slightly attractive,,,
1150405,1150405_4,disqualified,,,,,,,,,,,
1152556,1152556_4,qualified,yes,201303.0,still together,2011.0,August,5.0,very attractive,very attractive,,,yes
1153741,1153741_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1154421,1154421_4,qualified,no,,,,,,,,,,
1155496,1155496_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1156455,1156455_4,disqualified,,,,,,,,,,,
1157671,1157671_4,qualified,yes,201311.0,still together,,,5.0,very attractive,very attractive,,,
1158513,1158513_4,disqualified,,,,,,,,,,,
1159593,1159593_4,disqualified,,,,,,,,,,,
1160731,1160731_4,qualified,yes,201303.0,still together,,,4.0,not at all attractive,slightly attractive,,,
1161581,1161581_4,disqualified,,,,,,,,,,,
1162493,1162493_4,disqualified,,,,,,,,,,,
1163761,1163761_4,qualified,no,,,,,,,,,,
1164235,1164235_4,qualified,no,,,,,,,,,,
1166341,1166341_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1167742,1167742_4,disqualified,,,,,,,,,,,
1168762,1168762_4,disqualified,,,,,,,,,,,
1169771,1169771_4,qualified,no,,,,,,,,,,
1170601,1170601_4,qualified,no,,,,,,,,,,
1171561,1171561_4,disqualified,,,,,,,,,,,
1172792,1172792_4,disqualified,,,,,,,,,,,
1173661,1173661_4,qualified,no,,,,,,,,,,
1174565,1174565_4,disqualified,,,,,,,,,,,
1175723,1175723_4,disqualified,,,,,,,,,,,
1176743,1176743_4,disqualified,,,,,,,,,,,
1177285,1177285_4,disqualified,,,,,,,,,,,
1178543,1178543_4,disqualified,,,,,,,,,,,
1179591,1179591_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,moderately attractive,,,
1180271,1180271_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,moderately attractive,,,
1181656,1181656_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1182613,1182613_4,disqualified,,,,,,,,,,,
1183831,1183831_4,qualified,no,,,,,,,,,,
1184501,1184501_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
1185644,1185644_4,qualified,yes,201311.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1187235,1187235_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1188821,1188821_4,qualified,yes,201303.0,still together,,,4.0,not at all attractive,very attractive,,,
1189486,1189486_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,slightly attractive,,,no
1190613,1190613_4,disqualified,,,,,,,,,,,
1193586,1193586_4,qualified,no,,,,,,,,,,
1195802,1195802_4,disqualified,,,,,,,,,,,
1197633,1197633_4,disqualified,,,,,,,,,,,
1198411,1198411_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,slightly attractive,,,
1199541,1199541_4,qualified,no,,,,,,,,,,
1200626,1200626_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1201475,1201475_4,disqualified,,,,,,,,,,,
1202681,1202681_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,very attractive,,,
1203431,1203431_4,qualified,no,,,,,,,,,,
1204395,1204395_4,qualified,no,,,,,,,,,,
1205802,1205802_4,disqualified,,,,,,,,,,,
1206512,1206512_4,disqualified,,,,,,,,,,,
1207731,1207731_4,disqualified,,,,,,,,,,,
1208205,1208205_4,qualified,no,,,,,,,,,,
1209621,1209621_4,qualified,yes,201304.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1210536,1210536_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1211463,1211463_4,disqualified,,,,,,,,,,,
1213771,1213771_4,qualified,no,,,,,,,,,,
1214546,1214546_4,qualified,yes,201303.0,still together,,,1.0,slightly attractive,very attractive,,,
1215515,1215515_4,disqualified,,,,,,,,,,,
1216365,1216365_4,qualified,yes,201303.0,still together,,,4.0,very attractive,very attractive,,,no
1217341,1217341_4,qualified,yes,201304.0,broke up,,,,moderately attractive,,2012.0,April,
1219921,1219921_4,qualified,no,,,,,,,,,,
1220631,1220631_4,qualified,no,,,,,,,,,,
1222671,1222671_4,qualified,no,,,,,,,,,,
1223621,1223621_4,qualified,yes,201303.0,still together,,,5.0,Refused,very attractive,,,
1224473,1224473_4,disqualified,,,,,,,,,,,
1225585,1225585_4,disqualified,,,,,,,,,,,
1226651,1226651_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1228415,1228415_4,disqualified,,,,,,,,,,,
1232501,1232501_4,qualified,no,,,,,,,,,,
1233501,1233501_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1234331,1234331_4,qualified,no,,,,,,,,,,
1235316,1235316_4,qualified,no,,,,,,,,,,
1236265,1236265_4,disqualified,,,,,,,,,,,
1238555,1238555_4,disqualified,,,,,,,,,,,
1239625,1239625_4,disqualified,,,,,,,,,,,
1240456,1240456_4,qualified,no,,,,,,,,,,
1241521,1241521_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1243681,1243681_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,slightly attractive,,,
1245475,1245475_4,disqualified,,,,,,,,,,,
1247592,1247592_4,disqualified,,,,,,,,,,,
1248543,1248543_4,disqualified,,,,,,,,,,,
1249671,1249671_4,qualified,yes,201311.0,still together,,,5.0,slightly attractive,very attractive,,,
1250456,1250456_4,qualified,no,,,,,,,,,,
1251205,1251205_4,disqualified,,,,,,,,,,,
1252476,1252476_4,qualified,yes,201303.0,still together,,,4.0,very attractive,moderately attractive,,,
1253471,1253471_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1254703,1254703_4,qualified,no,,,,,,,,,,
1255801,1255801_4,qualified,no,,,,,,,,,,
1256565,1256565_4,qualified,no,,,,,,,,,,
1257371,1257371_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
1258751,1258751_4,qualified,no,,,,,,,,,,
1259495,1259495_4,disqualified,,,,,,,,,,,
1260536,1260536_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,no
1261401,1261401_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,very attractive,,,
1262421,1262421_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1263261,1263261_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1265752,1265752_4,disqualified,,,,,,,,,,,
1266516,1266516_4,disqualified,,,,,,,,,,,
1267401,1267401_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1269411,1269411_4,qualified,no,,,,,,,,,,
1270636,1270636_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1271456,1271456_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,moderately attractive,,,no
1272295,1272295_4,disqualified,,,,,,,,,,,
1273236,1273236_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1274576,1274576_4,qualified,no,,,,,,,,,,
1275585,1275585_4,disqualified,,,,,,,,,,,
1277421,1277421_4,qualified,no,,,,,,,,,,
1278541,1278541_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1279296,1279296_4,disqualified,,,,,,,,,,,
1280305,1280305_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,
1281395,1281395_4,disqualified,,,,,,,,,,,
1282355,1282355_4,disqualified,,,,,,,,,,,
1283621,1283621_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1284701,1284701_4,qualified,no,,,,,,,,,,
1285703,1285703_4,disqualified,,,,,,,,,,,
1286415,1286415_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,no
1287613,1287613_4,qualified,no,,,,,,,,,,
1289291,1289291_4,qualified,yes,201303.0,still together,,,5.0,not at all attractive,moderately attractive,,,
1290401,1290401_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1291771,1291771_4,qualified,no,,,,,,,,,,
1293683,1293683_4,disqualified,,,,,,,,,,,
1294631,1294631_4,qualified,no,,,,,,,,,,
1296782,1296782_4,disqualified,,,,,,,,,,,
1297901,1297901_4,qualified,no,,,,,,,,,,
