caseid_new,caseid_wave,qualified?,w5_complete,w5_status,w5x_qualified,w5x_marry,w5x_last,w5x_year,w5x_civil,w5x_month,w5x_civyear,w5_q1,w5_q2,w5_sex_frequency,w5_p_monogamy,w5_identity,w5_outness,w5_q3,w5_q4,w5_mbtiming_month,w5_mbtiming_year,w5_q5,w5_q6,w5_q7,w5_mar_year,w5_mar_month,w5_q8,w5_civ_year,w5_civ_month,w5_q9,w5_q10,w5_nonmbtiming_year,w5_nonmbtiming_month,w5_broke_up,w5_HCMST_interview_fin_yrmo,w2345_combo_breakup,responded_to_w234or5
32656,32656_5,qualified,eligible but not completed,Do not call,qualified for wave 5,unmarried partners,3.0,2011.0,yes civil union or DP prior to wave 5,June,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
33536,33536_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,gay,All or most of them,,,,,no,,,,,,,,We broke up,[name] wanted to break up more,2014.0,February,broke up,201412.0,"broke up at wave 2,3,4, or 5",Yes
34341,34341_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",bisexual,Some of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
35653,35653_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
36493,36493_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
37656,37656_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38895,38895_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,3.0,2011.0,no civil union or DP prior to wave 5,April,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
39415,39415_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40335,40335_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
41505,41505_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
42645,42645_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43381,43381_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
44486,44486_5,disqualified,,,not qualified for wave 5,married,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
45653,45653_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46746,46746_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",gay,All or most of them,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
48225,48225_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
49731,49731_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
50605,50605_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51376,51376_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
53436,53436_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54415,54415_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
55365,55365_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
55686,55686_5,qualified,eligible but not completed,Do not call,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
56536,56536_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,Once a month or less,"No, I expect [name] to have sex with other people besides me",lesbian,All or most of them,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
57485,57485_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58295,58295_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
59265,59265_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60743,60743_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
62283,62283_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
63435,63435_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64331,64331_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
65446,65446_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
66345,66345_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66484,66484_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
67535,67535_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68546,68546_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",lesbian,All or most of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
69311,69311_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
70603,70603_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71523,71523_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72515,72515_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
73603,73603_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
74415,74415_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75621,75621_5,qualified,eligible but not completed,Do not call,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
75685,75685_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76832,76832_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77256,77256_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
78351,78351_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
79405,79405_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79731,79731_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201501.0,still together at w5 or some follow-up w/o breakup,Yes
80656,80656_5,qualified,eligible but not completed,Do not call,qualified for wave 5,unmarried partners,3.0,2011.0,no civil union or DP prior to wave 5,April,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
81286,81286_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
82431,82431_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
83431,83431_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
84485,84485_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85281,85281_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
86591,86591_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,May,2009.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201502.0,still together at w5 or some follow-up w/o breakup,Yes
88205,88205_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89766,89766_5,qualified,wave 5 completed,Retired,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,,,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",gay,All or most of them,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201502.0,still together at w5 or some follow-up w/o breakup,Yes
90315,90315_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92625,92625_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94431,94431_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
95431,95431_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
96335,96335_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97195,97195_5,disqualified,,,not qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
98306,98306_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99611,99611_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
100331,100331_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
101533,101533_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102345,102345_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103545,103545_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,Once or twice a week,"Yes, I expect [name] will only have sex with me",bisexual,Only a few of them,,,,,yes,no,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
104565,104565_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
105515,105515_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106296,106296_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
107255,107255_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108381,108381_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,5.0,2009.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,No
108501,108501_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Refused,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
109706,109706_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110316,110316_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,Once a month or less,"Yes, I expect [name] will only have sex with me",gay,Some of them,,,,,yes,yes,"yes, married [name]",2014.0,February,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
112646,112646_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
113235,113235_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,no,,,,heterosexual or straight,,divorce,I wanted the [divorce/separation] more.,July,2013.0,,,,,,,,,,,,,broke up,201412.0,"broke up at wave 2,3,4, or 5",Yes
114276,114276_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
115473,115473_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
116271,116271_5,qualified,eligible but not completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
117401,117401_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",Something else,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
119371,119371_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",bisexual,All or most of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
119663,119663_5,qualified,eligible but not completed,Retired,qualified for wave 5,unmarried partners,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
120456,120456_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,May,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
121515,121515_5,disqualified,,,not qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
122441,122441_5,qualified,eligible but not completed,Retired,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
123405,123405_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125346,125346_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
126231,126231_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
127425,127425_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128441,128441_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
129595,129595_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130266,130266_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
131561,131561_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,5.0,2009.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,No
132505,132505_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133521,133521_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
134275,134275_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
134461,134461_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
135736,135736_5,qualified,eligible but not completed,Do not call,qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
136275,136275_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
137215,137215_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,3.0,2011.0,no civil union or DP prior to wave 5,April,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
138383,138383_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140511,140511_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
141843,141843_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142561,142561_5,qualified,eligible but not completed,Retired,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
143746,143746_5,disqualified,,,not qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
144545,144545_5,disqualified,,,not qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
145611,145611_5,qualified,wave 5 completed,Retired,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201502.0,still together at w5 or some follow-up w/o breakup,Yes
146405,146405_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147245,147245_5,disqualified,,,not qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
147525,147525_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
149675,149675_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150411,150411_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
151506,151506_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
152762,152762_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
153673,153673_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154531,154531_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
