caseid_new,caseid_wave,qualified?,w2_broke_up,w2_xmarry,w2_deceased,w2_panelstat,w2_donotcontact,w2_assigned,w2_f1complete,w2_HCMST_interview_fin_yrmo,w2_xss,w2_q1,w2_q5,w2_q2,w2_q3,w2_q4,w2_q6,w2_q7,w2_q8,w2_q9,w2_q10
68546,68546_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
69311,69311_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
72515,72515_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,we both equally wanted to break up
73603,73603_2,qualified,broke up,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,no,,,divorce,[partner] wanted the [divorce/separation] more,,,,,
75621,75621_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
77256,77256_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
78351,78351_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
79731,79731_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
80656,80656_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
81286,81286_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"yes, married [partner]",,,
82431,82431_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
83431,83431_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
85281,85281_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
86591,86591_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
89766,89766_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
94431,94431_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
95431,95431_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
97195,97195_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
99611,99611_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
100331,100331_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
103545,103545_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
104565,104565_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,no,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
106296,106296_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
108381,108381_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
108501,108501_2,qualified,still together,married,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,no,yes,,yes,,,,,,,
110316,110316_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
112646,112646_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
113235,113235_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,no,,yes,,,,yes,"yes, married [partner]",,,
114276,114276_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
115473,115473_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,other (please describe),we both equally wanted to break up
116271,116271_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
117401,117401_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
119371,119371_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
119663,119663_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
120456,120456_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
121515,121515_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
122441,122441_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
125346,125346_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,[partner] wanted to break up more
126231,126231_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
128441,128441_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
130266,130266_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
131561,131561_2,qualified,,,not deceased,withdrawn kn panelist,withdrawn case on noncontact list,not assigned to survey,did not complete followup survey,,,,,,,,,,,,
133521,133521_2,qualified,still together,married,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,no,yes,,yes,,,,,,,
134275,134275_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
134461,134461_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"yes, married [partner]",,,
135736,135736_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
136275,136275_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"yes, married [partner]",,,
137215,137215_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,no,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
140511,140511_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
142561,142561_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
143746,143746_2,qualified,,,not deceased,active kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
144545,144545_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
145611,145611_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
147245,147245_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
147525,147525_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
150411,150411_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
151506,151506_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
152762,152762_2,qualified,partner passed away,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,no,no,,,"[partner] passed away, is deceased",,,,,,
154531,154531_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
155561,155561_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
156486,156486_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
157421,157421_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
158261,158261_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
161715,161715_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,we both equally wanted to break up
162521,162521_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
163195,163195_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
166381,166381_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
167245,167245_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
168646,168646_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
171391,171391_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
172291,172291_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
173671,173671_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
174603,174603_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
176495,176495_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,no,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
177386,177386_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,we broke up,i wanted to break up more
179461,179461_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
180415,180415_2,qualified,broke up,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",no,,,divorce,i wanted the [divorce/separation] more,,,,,
181403,181403_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
185405,185405_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201005.0,no,,yes,,,,no,"no, did not marry [partner]",,,
187511,187511_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
189411,189411_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
190215,190215_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
191546,191546_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,no,,,,,,,
192341,192341_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
193446,193446_2,qualified,,,not deceased,withdrawn kn panelist,withdrawn case on noncontact list,not assigned to survey,did not complete followup survey,,,,,,,,,,,,
194441,194441_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
196851,196851_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
197486,197486_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","yes, we have gotten a domestic partnership or civil union agreement",,
199261,199261_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
202631,202631_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
203562,203562_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,we broke up,i wanted to break up more
204561,204561_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
205421,205421_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
206541,206541_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
209345,209345_2,qualified,broke up,partnered,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,no,,no,,,,,,,we broke up,i wanted to break up more
211571,211571_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
212505,212505_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,no,,,,,,,we broke up,we both equally wanted to break up
214591,214591_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
217365,217365_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
218426,218426_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,no,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
219265,219265_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
220411,220411_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
221225,221225_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,no,"no, did not marry [partner]",,,
222281,222281_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
224425,224425_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
225411,225411_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
225516,225516_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
226381,226381_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
228741,228741_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
229666,229666_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
230271,230271_2,qualified,still together,married,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
230651,230651_2,qualified,partner passed away,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,no,,,"[partner] passed away, is deceased",,,,,,
231421,231421_2,qualified,still together,married,not deceased,withdrawn kn panelist,all other cases,assigned to survey,completed followup survey,201004.0,no,yes,,yes,,,,,,,
233441,233441_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
236195,236195_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201005.0,no,,no,,,,,,,we broke up,[partner] wanted to break up more
236456,236456_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,yes,"yes, married [partner]","yes, we have gotten a domestic partnership or civil union agreement",,
239561,239561_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
242355,242355_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
244431,244431_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
245671,245671_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
246531,246531_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
247475,247475_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
249441,249441_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
250546,250546_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
251822,251822_2,qualified,partner passed away,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,no,,,"[partner] passed away, is deceased",,,,,,
253483,253483_2,qualified,broke up,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,no,,,,,,,we broke up,i wanted to break up more
254236,254236_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
255375,255375_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
256696,256696_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
257822,257822_2,qualified,partner passed away,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,no,,,"[partner] passed away, is deceased",,,,,,
259495,259495_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
260461,260461_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
261591,261591_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
262566,262566_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",yes,,yes,,,,,,,
266436,266436_2,qualified,,,not deceased,withdrawn kn panelist,all other cases,assigned to survey,did not complete followup survey,,,,,,,,,,,,
267361,267361_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
269331,269331_2,qualified,still together,married,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,yes,,yes,,,,,,,
270225,270225_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,no,,yes,,,,yes,"no, did not marry [partner]",,,
271623,271623_2,qualified,still together,partnered,not deceased,active kn panelist,all other cases,assigned to survey,completed followup survey,201003.0,"yes, qualified to ask about new domestic parterships",,yes,,,,no,"no, did not marry [partner]","no, we have not gotten a domestic partnership or civil union agreement",,
