caseid_new,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
32656,71,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,200710.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,,,Living with partner,200710.0
33536,59,55-64,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$175,000 or more",Living with partner,201207.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,,,,,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200809.0
34341,40,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,201007.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,Married,201007.0,Married,200905.0,Married,200801.0
35653,71,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,201409.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201409.0,Living with partner,201305.0,Never married,201208.0,Never married,201107.0,Never married,201008.0,Never married,200904.0,Divorced,200712.0
36493,54,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,201209.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,Divorced,201209.0,Divorced,201107.0,Divorced,201004.0,Divorced,200904.0,Divorced,200711.0
37656,71,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$30,000 to $34,999",Living with partner,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Living with partner,201405.0,Living with partner,201305.0,Divorced,201207.0,Divorced,201107.0,Divorced,201007.0,Divorced,200905.0,Living with partner,200710.0
38895,78,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,201208.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,,,Divorced,201208.0,Divorced,201107.0,Divorced,201007.0,Divorced,200908.0,Never married,200807.0
39415,47,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house attached to one or more houses,"$75,000 to $84,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200712.0
40335,39,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$175,000 or more",Living with partner,201404.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201404.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
41505,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"Less than $5,000",Never married,201405.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - looking for work,Yes,Never married,201405.0,Never married,201306.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
42645,70,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house attached to one or more houses,"$20,000 to $24,999",Never married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,Never married,201405.0,Never married,201306.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
43381,43,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$175,000 or more",Married,201404.0,Yes,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,1,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200711.0
44486,54,45-54,45-59,Associate degree,Some college,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$85,000 to $99,999",Separated,201107.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,Separated,201107.0,Living with partner,201009.0,Living with partner,200904.0,Living with partner,200806.0
45653,71,65-74,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,201107.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,,,,,Divorced,201107.0,Divorced,201008.0,Divorced,200904.0,Divorced,200710.0
46746,79,75+,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,201406.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201406.0,Married,201306.0,Married,201207.0,Married,201107.0,Married,201007.0,Living with partner,200904.0,Living with partner,200710.0
48225,28,25-34,18-29,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$100,000 to $124,999",Married,201404.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
49731,79,75+,60+,9th grade,Less than high school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,201405.0,Yes,non-Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200710.0
50605,66,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,201405.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,0,2,Not working - retired,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201008.0,Never married,200904.0,Never married,200711.0
51376,43,35-44,30-44,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,1,3,A one-family house detached from any other house,"$85,000 to $99,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201206.0,Never married,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200712.0
53436,49,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,201108.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,Never married,201108.0,Never married,201011.0,Never married,200910.0,Living with partner,200710.0
54415,47,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$35,000 to $39,999",Never married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,Never married,201404.0,Never married,201305.0,Never married,201207.0,Never married,201112.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
55365,41,35-44,30-44,Associate degree,Some college,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$50,000 to $59,999",Never married,201305.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
55686,74,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,200710.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,,,Living with partner,200710.0
56536,59,55-64,45-59,Bachelors degree,Bachelor's degree or higher,Hispanic,Female,1,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,201305.0,No,Metro,West,Mountain,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,Married,201305.0,Living with partner,201208.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200802.0
57485,53,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$35,000 to $39,999",Never married,201107.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
58295,35,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,1,0,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Living with partner,201007.0,Never married,200904.0,Never married,200710.0
59265,32,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,201405.0,Yes,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200712.0
60743,80,75+,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,200906.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Not working - retired,No,,,,,,,,,,,Divorced,200906.0,Divorced,200711.0
62283,34,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$40,000 to $49,999",Divorced,201106.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,Divorced,201106.0,Divorced,201007.0,Divorced,200904.0,Divorced,200801.0
63435,48,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200905.0,Never married,200810.0
64331,39,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Male,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,1,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
65446,50,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - self-employed,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Living with partner,200710.0
66345,40,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,201408.0,Yes,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,Never married,201408.0,Never married,201309.0,Never married,201208.0,Never married,201107.0,Never married,201008.0,Never married,200905.0,Never married,200711.0
66484,54,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,201107.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Not working - disabled,No,,,,,,,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Separated,200802.0
67535,59,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house attached to one or more houses,"$20,000 to $24,999",Never married,201405.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - disabled,Yes,Never married,201405.0,Never married,201306.0,Never married,201209.0,Never married,201108.0,Never married,201007.0,Never married,200904.0,Never married,200805.0
68546,60,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$30,000 to $34,999",Living with partner,201405.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201207.0,Living with partner,201106.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
69311,37,35-44,30-44,Associate degree,Some college,"White, Non-Hispanic",Male,0,5,A one-family house detached from any other house,"$25,000 to $29,999",Married,201206.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,1,0,4,Working - as a paid employee,Yes,,,,,Married,201206.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200710.0
70603,65,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,200905.0,No,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,1,Not working - disabled,Yes,,,,,,,,,,,Divorced,200905.0,Divorced,200711.0
71523,58,55-64,45-59,Associate degree,Some college,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$75,000 to $84,999",Divorced,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Divorced,201404.0,Divorced,201306.0,Divorced,201207.0,Divorced,201107.0,Divorced,201007.0,Divorced,200907.0,Divorced,200710.0
72515,57,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,3,A one-family house detached from any other house,"$20,000 to $24,999",Never married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - other,Yes,Never married,201405.0,Never married,201308.0,Never married,201208.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
73603,66,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,200905.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Divorced,200905.0,Divorced,200710.0
74415,46,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$60,000 to $74,999",Never married,201405.0,Yes,non-Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201405.0,Never married,201306.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
75621,68,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,201007.0,No,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,Married,201007.0,Married,200904.0,Married,200710.0
75685,73,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$12,500 to $14,999",Never married,201407.0,Yes,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Not working - retired,Yes,Never married,201407.0,Never married,201305.0,Never married,201207.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200712.0
76832,88,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$25,000 to $29,999",Widowed,200904.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,,,,,Widowed,200904.0,Widowed,200712.0
77256,31,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,201207.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Living with partner,200710.0
78351,41,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$85,000 to $99,999",Married,201207.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - looking for work,Yes,,,,,Married,201207.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
79405,45,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,201106.0,No,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - self-employed,Yes,,,,,,,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
79731,79,75+,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$60,000 to $74,999",Married,201408.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201408.0,Married,201306.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200712.0
80656,71,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house attached to one or more houses,"$10,000 to $12,499",Living with partner,201107.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,,,,,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200712.0
81286,34,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,201405.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,1,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201208.0,Married,201107.0,Married,201007.0,Never married,200904.0,Living with partner,200710.0
82431,49,45-54,45-59,10th grade,Less than high school,"White, Non-Hispanic",Female,0,3,A one-family house detached from any other house,"$15,000 to $19,999",Married,201007.0,No,Metro,Midwest,West-North Central,Occupied without payment,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,Married,201007.0,Married,200904.0,Married,200710.0
83431,49,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,1,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
84485,54,45-54,45-59,Associate degree,Some college,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,200904.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200710.0
85281,34,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,201009.0,No,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,,,,,,,,,Married,201009.0,Married,200903.0,Married,200710.0
86591,65,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$10,000 to $12,499",Married,201007.0,No,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,No,,,,,,,,,Married,201007.0,Married,200904.0,Married,200711.0
88205,25,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$100,000 to $124,999",Never married,201404.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Never married,201404.0,Never married,201305.0,Never married,201207.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200801.0
89766,82,75+,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,200904.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,,,,,,,,,,,Living with partner,200904.0,Living with partner,200711.0
90315,37,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Never married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,Never married,201405.0,Never married,201305.0,Never married,201208.0,Never married,201107.0,Never married,201007.0,Never married,200905.0,Never married,200801.0
