caseid_new,weight1,weight2,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphouseholdsize,pphouse,ppincimp,hhinc,ppmarit,ppmsacat,ppreg4,ppreg9,pprent,ppt01,ppt1317,ppt18ov,ppt25,ppt612,children_in_hh,ppwork,ppnet,ppq14arace,pphispan,pprace_white,pprace_black,pprace_nativeamerican,pprace_asianindian,pprace_chinese,pprace_filipino,pprace_japanese,pprace_korean,pprace_vietnamese,pprace_otherasian,pprace_hawaiian,pprace_guamanian,pprace_samoan,pprace_otherpacificislander,pprace_someotherrace,papglb_friend,pppartyid3,papevangelical,papreligion,ppppcmdate_yrmo,pppadate_yrmo
36493,1704,1704.0,49,45-54,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,divorced,non-metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
37656,1656,,65,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house attached to one or more houses,"$85,000 to $99,999",92250.0,living with partner,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200710.0,200711.0
38895,1762,1762.0,89,75+,60+,"some college, no degree",some college,"white, non-hispanic",male,no,1,a one-family house detached from any other house,"$12,500 to $14,999",13750.0,never married,metro,west,pacific,rented for cash,0,0,1,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,other christian,200807.0,200807.0
39415,4696,,41,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house attached to one or more houses,"$60,000 to $74,999",67250.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200712.0,200711.0
40335,5843,5843.0,33,25-34,30-44,professional or doctorate degree,bachelor's degree or higher,"white, non-hispanic",male,no,1,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,never married,metro,west,pacific,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200711.0
41505,11152,11152.0,50,45-54,45-59,11th grade,less than high school,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"less than $5,000",2500.0,never married,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - looking for work,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"other non-christian, please specify:",200710.0,200709.0
42645,652,,64,55-64,60+,"some college, no degree",some college,"2+ races, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$5,000 to $7,499",6250.0,never married,metro,west,pacific,rented for cash,0,0,1,0,0,0,not working - looking for work,yes,white,"no, i am not",yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200711.0,200709.0
43381,4324,4324.0,38,35-44,30-44,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,3,a one-family house detached from any other house,"$125,000 to $149,999",137250.0,married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200711.0,200710.0
44486,3581,3581.0,48,45-54,45-59,"some college, no degree",some college,"black, non-hispanic",female,yes,2,a building with 2 or more apartments,"$100,000 to $124,999",112250.0,living with partner,metro,west,pacific,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"other non-christian, please specify:",200806.0,200806.0
45653,1887,,65,65-74,60+,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,divorced,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
46746,2404,2404.0,74,65-74,60+,professional or doctorate degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,living with partner,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200710.0,200709.0
48225,52750,52750.0,22,18-24,18-29,"some college, no degree",some college,"white, non-hispanic",male,no,4,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,never married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,1,3,0,0,1,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",republican,no,catholic,200710.0,200709.0
49731,48859,48859.0,73,65-74,60+,7th or 8th grade,less than high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,married,non-metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,yes,pentecostal,200710.0,200709.0
50605,1148,,60,55-64,60+,"some college, no degree",some college,"white, non-hispanic",male,yes,2,a building with 2 or more apartments,"$35,000 to $39,999",37250.0,never married,metro,west,pacific,rented for cash,0,0,3,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
51376,4731,4731.0,37,35-44,30-44,bachelors degree,bachelor's degree or higher,hispanic,male,yes,2,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"yes, cuban",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200712.0,200711.0
53436,2738,,43,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,living with partner,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"other non-christian, please specify:",200710.0,200709.0
54415,28989,28989.0,41,35-44,30-44,12th grade no diploma,less than high school,"white, non-hispanic",female,yes,2,a building with 2 or more apartments,"$25,000 to $29,999",27250.0,never married,metro,west,pacific,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,jewish,200710.0,200709.0
55365,27340,27340.0,36,35-44,30-44,associate degree,some college,"black, non-hispanic",female,yes,2,a building with 2 or more apartments,"$50,000 to $59,999",55000.0,never married,metro,south,south atlantic,rented for cash,0,1,1,0,3,4,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,baptist-any denomination,200710.0,200710.0
55686,2170,2170.0,68,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$35,000 to $39,999",37250.0,living with partner,metro,west,pacific,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,baptist-any denomination,200710.0,200709.0
56536,5735,5735.0,53,45-54,45-59,bachelors degree,bachelor's degree or higher,hispanic,female,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,living with partner,metro,west,mountain,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"yes, mexican, mexican-american, chicano",no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"yes, both",democrat,no,none,200802.0,200710.0
57485,28970,,48,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,1,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,never married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,catholic,200710.0,200709.0
58295,89059,89059.0,29,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,1,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,never married,metro,west,pacific,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
59265,11669,,26,25-34,18-29,masters degree,bachelor's degree or higher,"white, non-hispanic",female,no,3,a one-family house detached from any other house,"$150,000 to $174,999",162250.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - looking for work,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,jewish,200712.0,200711.0
60743,60770,60770.0,74,65-74,60+,professional or doctorate degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$50,000 to $59,999",55000.0,divorced,metro,west,pacific,rented for cash,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
62283,57477,57477.0,28,25-34,18-29,associate degree,some college,"white, non-hispanic",female,yes,1,a building with 2 or more apartments,"$35,000 to $39,999",37250.0,divorced,metro,midwest,west-north central,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,other christian,200801.0,200709.0
63435,3704,,43,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,yes,baptist-any denomination,200810.0,200810.0
64331,125509,125509.0,33,25-34,30-44,high school graduate - high school diploma or the equivalent (ged),high school,hispanic,male,yes,4,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,1,1,working - as a paid employee,yes,not asked,"yes, puerto rican",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,catholic,200710.0,200710.0
65446,3435,3435.0,44,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200710.0,200709.0
66345,1411,,34,25-34,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,no,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,never married,non-metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,4,0,0,0,not working - looking for work,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200711.0,200709.0
66484,3442,3442.0,48,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$7,500 to $9,999",8750.0,separated,metro,south,south atlantic,rented for cash,0,0,1,0,0,0,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,i would prefer to not answer this question,democrat,no,none,200802.0,200802.0
67535,1597,,53,45-54,45-59,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,1,a building with 2 or more apartments,"$15,000 to $19,999",17250.0,never married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200805.0,200805.0
68546,1968,1968.0,54,45-54,45-59,masters degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house attached to one or more houses,"$100,000 to $124,999",112250.0,living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,catholic,200710.0,200709.0
69311,26310,26310.0,31,25-34,30-44,associate degree,some college,"white, non-hispanic",male,no,9,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,3,1,0,1,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,catholic,200710.0,200709.0
70603,2220,,60,55-64,60+,"some college, no degree",some college,"white, non-hispanic",female,yes,1,a building with 2 or more apartments,"$7,500 to $9,999",8750.0,divorced,metro,northeast,mid-atlantic,rented for cash,0,0,1,0,0,0,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,"other non-christian, please specify:",200711.0,200711.0
71523,29526,,52,45-54,45-59,associate degree,some college,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,divorced,metro,west,pacific,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200712.0
72515,63577,63577.0,51,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,never married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,1,1,working - self-employed,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,other christian,200710.0,200711.0
73603,45849,45849.0,60,55-64,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,divorced,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,yes,baptist-any denomination,200710.0,200709.0
74415,4385,,41,35-44,30-44,masters degree,bachelor's degree or higher,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,never married,non-metro,west,pacific,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,buddhist,200710.0,200709.0
75621,64496,64496.0,62,55-64,60+,9th grade,less than high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,non-metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,i would prefer to not answer this question,republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
75685,625,,68,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a building with 2 or more apartments,"$15,000 to $19,999",17250.0,never married,metro,south,south atlantic,occupied without payment of cash rent,0,0,1,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200712.0,200709.0
76832,33759,,83,75+,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,widowed,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200709.0
77256,46650,46650.0,25,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,4,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200710.0,200710.0
78351,50196,50196.0,35,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$75,000 to $84,999",80000.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200709.0
79405,2142,,40,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$35,000 to $39,999",37250.0,never married,non-metro,south,east-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
79731,814,814.0,73,65-74,60+,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200709.0
80656,905,905.0,65,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house attached to one or more houses,"$50,000 to $59,999",55000.0,living with partner,metro,northeast,mid-atlantic,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,other christian,200712.0,200709.0
81286,38954,38954.0,28,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a building with 2 or more apartments,"$60,000 to $74,999",67250.0,living with partner,metro,south,west-south central,rented for cash,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,yes,baptist-any denomination,200710.0,200710.0
82431,83275,83275.0,43,35-44,30-44,10th grade,less than high school,"white, non-hispanic",female,no,6,a one-family house detached from any other house,"$12,500 to $14,999",13750.0,married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,4,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,baptist-any denomination,200710.0,200710.0
83431,63988,63988.0,43,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,1,1,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
84485,24271,,48,45-54,45-59,associate degree,some college,"2+ races, non-hispanic",female,yes,1,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,never married,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,white,"no, i am not",yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,baptist-any denomination,200710.0,200709.0
