,caseid_new,qflag_w1,married_w1,children_in_hh,age_difference,age_gap_bin,same_sex_couple,edu_gap,edu_gap_bin,parental_approval,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_unique,how_long_relationship_w1,relationship_len,partner_deceased,relationship_quality_w1,qflag_w2,cflag_w2,relationship_status_w2,qflag_w3,cflag_w3,relationship_status_w3,qflag_w4,cflag_w4,relationship_status_w4,qflag_w5,cflag_w5,relationship_status_w5,qflag_w6,cflag_w6,relationship_status_w6
10,36493,partnered,not married,0.0,3.0,0 to 3,same-sex couple,0.0,0 to 2,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,0.15,0.15,0,fair,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
11,38895,partnered,not married,0.0,37.0,>=20,same-sex couple,3.0,3 to 4,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,met_online,19.0,21.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
12,40335,partnered,not married,0.0,6.0,6 to 10,same-sex couple,8.0,>6,don't approve or don't know,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,2.5,2.5,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
13,41505,partnered,not married,0.0,2.0,0 to 3,same-sex couple,5.0,5 to 6,don't approve or don't know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,0.15,0.15,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
14,43381,partnered,married,0.0,7.0,6 to 10,same-sex couple,5.0,5 to 6,approve,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_travel,11.0,14.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
15,44486,partnered,married,0.0,1.0,0 to 3,same-sex couple,0.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_online,4.0,6.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
16,46746,partnered,married,0.0,13.0,11 to 20,same-sex couple,6.0,5 to 6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,43.0,47.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
17,48225,partnered,not married,1.0,0.0,0 to 3,different sex couple,3.0,3 to 4,approve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_school,0.45,5.45,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
18,49731,partnered,married,0.0,7.0,6 to 10,different sex couple,5.5,5 to 6,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_work,46.0,51.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
19,51376,partnered,not married,0.0,4.0,4 to 5,same-sex couple,3.0,3 to 4,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,2.5,3.5,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
20,54415,partnered,not married,0.0,7.0,6 to 10,different sex couple,5.0,5 to 6,don't approve or don't know,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,0.45,0.45,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
21,55365,partnered,not married,4.0,1.0,0 to 3,different sex couple,2.0,0 to 2,approve,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,5.0,6.0,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
22,55686,partnered,not married,0.0,32.0,>=20,same-sex couple,0.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,met_social,12.0,13.0,0,excellent,qualified,no,,qualified,no,,qualified,yes,still together,qualified,no,,,,
23,56536,partnered,not married,0.0,4.0,4 to 5,same-sex couple,1.0,0 to 2,approve,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_travel,10.0,14.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
24,58295,partnered,not married,0.0,5.0,4 to 5,different sex couple,1.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,met_f_and_f,4.0,9.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
25,60743,partnered,not married,0.0,16.0,11 to 20,different sex couple,0.0,0 to 2,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,0.15,0.15,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
26,62283,partnered,not married,0.0,0.0,0 to 3,different sex couple,1.0,0 to 2,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,0.75,0.75,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
27,64331,partnered,married,1.0,9.0,6 to 10,different sex couple,2.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,7.0,12.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
28,65446,partnered,not married,0.0,3.0,0 to 3,same-sex couple,3.0,3 to 4,don't approve or don't know,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_online,0.75,0.75,0,excellent,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
29,66484,partnered,not married,0.0,10.0,6 to 10,different sex couple,0.0,0 to 2,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,met_online,0.75,0.75,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
30,68546,partnered,married,0.0,6.0,6 to 10,same-sex couple,1.0,0 to 2,don't approve or don't know,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_at_work,20.0,25.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
31,69311,partnered,married,1.0,0.0,0 to 3,different sex couple,2.0,0 to 2,don't approve or don't know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,met_offline_dating,6.0,9.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
32,72515,partnered,not married,1.0,0.0,0 to 3,different sex couple,0.0,0 to 2,approve,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,met_at_school,11.0,11.0,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
33,73603,partnered,married,0.0,0.0,0 to 3,different sex couple,5.0,5 to 6,approve,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,met_party,29.0,29.0,0,very poor,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
34,75621,partnered,married,0.0,10.0,6 to 10,different sex couple,4.0,3 to 4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,29.0,30.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
35,77256,partnered,married,0.0,8.0,6 to 10,different sex couple,2.0,0 to 2,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_at_work,5.0,7.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
36,78351,partnered,married,0.0,10.0,6 to 10,different sex couple,3.0,3 to 4,approve,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,met_at_work,16.0,19.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
37,79731,partnered,married,0.0,14.0,11 to 20,different sex couple,0.0,0 to 2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,26.0,30.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
38,80656,partnered,not married,0.0,1.0,0 to 3,same-sex couple,0.0,0 to 2,approve,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,30.0,32.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
39,81286,partnered,not married,0.0,1.0,0 to 3,different sex couple,0.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,2.5,6.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
40,82431,partnered,married,0.0,10.0,6 to 10,different sex couple,3.0,3 to 4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_party,26.0,27.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
41,83431,partnered,married,1.0,1.0,0 to 3,different sex couple,4.0,3 to 4,approve,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_at_school,23.0,28.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
42,85281,partnered,married,0.0,5.0,4 to 5,different sex couple,1.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,met_f_and_f,10.0,12.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
43,86591,partnered,married,0.0,7.0,6 to 10,different sex couple,1.0,0 to 2,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_church,19.0,22.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,yes,still together,,,
44,89766,partnered,not married,0.0,18.0,11 to 20,same-sex couple,3.0,3 to 4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,met_f_and_f,35.0,38.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,yes,still together,qualified,yes,still together,,,
45,94431,partnered,married,0.0,13.0,11 to 20,different sex couple,2.0,0 to 2,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_work,14.0,17.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
46,95431,partnered,married,3.0,0.0,0 to 3,different sex couple,4.0,3 to 4,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,25.0,27.0,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
47,97195,partnered,not married,0.0,0.0,0 to 3,different sex couple,0.0,0 to 2,approve,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_school,0.45,2.45,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
48,99611,partnered,married,0.0,2.0,0 to 3,different sex couple,4.0,3 to 4,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_work,40.0,43.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
49,100331,partnered,married,0.0,0.0,0 to 3,different sex couple,1.0,0 to 2,approve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,met_at_school,11.0,15.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
50,103545,partnered,not married,0.0,2.0,0 to 3,different sex couple,3.0,3 to 4,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,4.0,9.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
51,104565,partnered,not married,0.0,6.0,6 to 10,same-sex couple,0.0,0 to 2,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,4.0,5.0,0,excellent,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
52,106296,partnered,not married,0.0,70.0,>=20,different sex couple,3.0,3 to 4,don't approve or don't know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,10.0,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
53,108381,partnered,married,2.0,1.0,0 to 3,different sex couple,4.0,3 to 4,approve,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,met_online,19.0,19.0,0,fair,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
54,108501,partnered,married,0.0,2.0,0 to 3,different sex couple,0.0,0 to 2,approve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_school,27.0,31.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
55,110316,partnered,not married,0.0,5.0,4 to 5,same-sex couple,0.0,0 to 2,don't approve or don't know,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_school,4.0,8.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
56,112646,partnered,married,0.0,0.0,0 to 3,same-sex couple,3.0,3 to 4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_party,30.0,33.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
57,113235,partnered,not married,0.0,3.0,0 to 3,different sex couple,3.0,3 to 4,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_work,5.0,8.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,,,
58,114276,partnered,married,0.0,2.0,0 to 3,different sex couple,1.0,0 to 2,approve,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,5.0,10.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
59,115473,partnered,not married,0.0,9.0,6 to 10,same-sex couple,0.0,0 to 2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,met_at_work,11.0,11.0,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
60,116271,partnered,married,0.0,3.0,0 to 3,different sex couple,1.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,7.0,10.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
61,117401,partnered,married,0.0,,,different sex couple,0.0,0 to 2,approve,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_online,14.0,19.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
62,119371,partnered,married,2.0,10.0,6 to 10,different sex couple,0.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,met_online,8.0,12.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
63,119663,partnered,not married,0.0,11.0,11 to 20,different sex couple,2.0,0 to 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,20.0,21.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
64,120456,partnered,married,0.0,13.0,11 to 20,different sex couple,5.0,5 to 6,approve,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_travel,21.0,25.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
65,121515,partnered,not married,0.0,2.0,0 to 3,different sex couple,4.0,3 to 4,don't approve or don't know,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,7.0,9.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
66,122441,partnered,married,0.0,3.0,0 to 3,different sex couple,0.0,0 to 2,approve,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_church,24.0,25.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
67,125346,partnered,not married,0.0,0.0,0 to 3,different sex couple,4.0,3 to 4,don't approve or don't know,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,met_social,6.0,6.0,0,fair,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
68,126231,partnered,married,0.0,11.0,11 to 20,different sex couple,2.0,0 to 2,approve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_school,6.0,11.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
69,128441,partnered,married,0.0,1.0,0 to 3,different sex couple,4.0,3 to 4,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_online,2.5,6.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up
70,130266,partnered,married,0.0,6.0,6 to 10,different sex couple,0.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,2.5,5.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
71,131561,partnered,married,0.0,4.0,4 to 5,different sex couple,0.0,0 to 2,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,met_at_work,38.0,38.0,0,excellent,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
72,133521,partnered,married,1.0,2.0,0 to 3,different sex couple,4.0,3 to 4,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,36.0,39.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
73,134275,partnered,not married,0.0,3.0,0 to 3,different sex couple,0.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,met_online,2.5,7.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
74,134461,partnered,not married,0.0,4.0,4 to 5,different sex couple,0.0,0 to 2,approve,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,0.75,4.75,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
75,135736,partnered,not married,0.0,7.0,6 to 10,same-sex couple,7.0,>6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_public_space,18.0,21.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
76,136275,partnered,not married,0.0,1.0,0 to 3,different sex couple,0.0,0 to 2,don't approve or don't know,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,1.5,2.5,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
77,137215,partnered,not married,0.0,0.0,0 to 3,same-sex couple,0.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,met_party,2.5,4.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
78,140511,partnered,married,3.0,0.0,0 to 3,different sex couple,1.0,0 to 2,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_work,31.0,35.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
79,142561,partnered,married,0.0,4.0,4 to 5,different sex couple,1.0,0 to 2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_at_school,39.0,40.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
80,143746,partnered,not married,0.0,0.0,0 to 3,same-sex couple,8.0,>6,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,met_party,43.0,43.0,1,excellent,qualified,no,,qualified,no,,qualified,yes,partner passed away,disqualified,,,,,
81,144545,partnered,not married,0.0,21.0,>=20,different sex couple,0.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_f_and_f,17.0,19.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
82,145611,partnered,married,1.0,3.0,0 to 3,different sex couple,0.0,0 to 2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,met_at_school,41.0,45.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
83,147245,partnered,not married,0.0,2.0,0 to 3,different sex couple,1.0,0 to 2,don't approve or don't know,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,met_social,0.75,2.75,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
84,147525,partnered,not married,0.0,19.0,11 to 20,same-sex couple,1.0,0 to 2,don't approve or don't know,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,met_online,19.0,20.0,0,excellent,qualified,yes,still together,qualified,yes,partner deceased,disqualified,,,disqualified,,,,,
85,150411,partnered,married,0.0,3.0,0 to 3,different sex couple,1.0,0 to 2,approve,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,met_party,8.0,12.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
86,151506,partnered,married,0.0,17.0,11 to 20,different sex couple,3.0,3 to 4,approve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,met_at_work,10.0,13.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,yes,still together,,,
87,152762,partnered,married,0.0,4.0,4 to 5,different sex couple,3.0,3 to 4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,met_party,59.0,59.0,1,fair,qualified,yes,partner passed away,disqualified,,,disqualified,,,disqualified,,,,,
