caseid_new,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
33536,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$150,000 to $174,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201207.0,Yes,200905.0,A few times a year
34341,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201007.0,No,200903.0,Never
35653,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
36493,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201209.0,Yes,200903.0,Once a week
37656,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$40,000 to $49,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200908.0,
38895,"Some college, no degree",Some college,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Not working - retired,Yes,201208.0,Yes,200903.0,
39415,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$60,000 to $74,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200904.0,
40335,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$85,000 to $99,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,
41505,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"Less than $5,000",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,Yes,201306.0,Yes,200903.0,Never
42645,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$20,000 to $24,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201306.0,Yes,200903.0,Never
43381,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,1,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,
44486,Associate degree,Some college,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$85,000 to $99,999",Separated,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201107.0,No,200905.0,Once a year or less
45653,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201107.0,No,200904.0,A few times a year
46746,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306.0,Yes,200903.0,
48225,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,More than once a week
49731,9th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Non-Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,
50605,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,More than once a week
51376,Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Never
53436,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201108.0,No,200912.0,
54415,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$15,000 to $19,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201305.0,Yes,200903.0,Never
55365,Associate degree,Some college,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200904.0,A few times a year
55686,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200710.0,No,,
56536,Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,West,Mountain,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,
57485,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$35,000 to $39,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201107.0,No,200903.0,A few times a year
58295,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Never
59265,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,A few times a year
60743,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - retired,No,200906.0,No,200903.0,Once a week
62283,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$40,000 to $49,999",Divorced,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201106.0,No,200902.0,Once or twice a month
63435,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
64331,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a week
65446,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$20,000 to $24,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,201305.0,Yes,200903.0,
66345,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201309.0,Yes,200903.0,
66484,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,No,201107.0,No,200902.0,
67535,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$20,000 to $24,999",Never married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,201306.0,Yes,200902.0,Never
68546,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$125,000 to $149,999",Living with partner,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200911.0,A few times a year
69311,Associate degree,Some college,"White, Non-Hispanic",No,6,A one-family house detached from any other house,"$25,000 to $29,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,1,0,5,Working - as a paid employee,Yes,201206.0,Yes,200906.0,Once a year or less
70603,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,200905.0,No,200905.0,A few times a year
71523,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$85,000 to $99,999",Divorced,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Never
72515,"Some college, no degree",Some college,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$20,000 to $24,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,1,2,Not working - other,Yes,201308.0,Yes,200904.0,A few times a year
73603,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200905.0,No,200903.0,Once a week
74415,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$75,000 to $84,999",Never married,Non-Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200905.0,A few times a year
75621,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201007.0,No,200903.0,Never
75685,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - retired,Yes,201305.0,Yes,200903.0,
76832,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$25,000 to $29,999",Widowed,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,200904.0,No,200903.0,Once a year or less
77256,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201207.0,Yes,200902.0,A few times a year
78351,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,201207.0,Yes,200903.0,
79405,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,201106.0,No,200902.0,Once a year or less
79731,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306.0,Yes,200903.0,Once a year or less
80656,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$85,000 to $99,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201107.0,No,200903.0,
81286,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,1,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,More than once a week
82431,10th grade,Less than high school,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$15,000 to $19,999",Married,Metro,Midwest,West-North Central,Occupied without payment of cash rent,0,0,0,0,3,Working - as a paid employee,Yes,201007.0,No,200903.0,Never
83431,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,1,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,A few times a year
84485,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200904.0,No,200903.0,Once a year or less
85281,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,1,1,0,2,Working - as a paid employee,Yes,201009.0,No,,
86591,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$10,000 to $12,499",Married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,No,201007.0,No,200903.0,More than once a week
88205,"Some college, no degree",Some college,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - looking for work,Yes,201305.0,Yes,200904.0,Never
89766,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,200904.0,No,200903.0,
90315,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200905.0,
92625,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201305.0,Yes,200904.0,Once or twice a month
94431,Masters degree,Bachelor's degree or higher,Hispanic,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
95431,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,2,3,Working - as a paid employee,Yes,200905.0,No,200905.0,Once a week
96335,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$150,000 to $174,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
97195,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Non-Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200902.0,Once or twice a month
98306,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,7,A one-family house detached from any other house,"$7,500 to $9,999",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,1,1,5,Working - as a paid employee,Yes,200905.0,No,200902.0,Once a year or less
99611,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",No,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,Once or twice a month
100331,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,6,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,2,2,0,2,Working - self-employed,Yes,201305.0,Yes,200902.0,Once a year or less
101533,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$30,000 to $34,999",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200902.0,Once or twice a month
102345,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$30,000 to $34,999",Never married,Non-Metro,South,South Atlantic,Occupied without payment of cash rent,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200902.0,More than once a week
103545,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201308.0,Yes,200902.0,Never
104565,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Never
105515,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201010.0,No,200905.0,
106296,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$35,000 to $39,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once or twice a month
107255,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,3,A one-family house attached to one or more houses,"$20,000 to $24,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201306.0,Yes,200902.0,A few times a year
108381,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,4,A one-family house attached to one or more houses,"$100,000 to $124,999",Married,Metro,West,Pacific,Rented for cash,0,0,2,0,2,Not working - looking for work,Yes,200904.0,No,200903.0,A few times a year
108501,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200802.0,No,200811.0,
109706,Associate degree,Some college,"White, Non-Hispanic",Yes,2,A mobile home,"$35,000 to $39,999",Living with partner,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,No,200907.0,No,200902.0,Once a year or less
110316,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$100,000 to $124,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Once a year or less
112646,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200905.0,
113235,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once or twice a month
114276,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,1,0,0,0,2,Working - as a paid employee,Yes,201306.0,Yes,200904.0,A few times a year
115473,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$85,000 to $99,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
116271,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201308.0,Yes,200903.0,Once or twice a month
117401,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Once a week
119371,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$12,500 to $14,999",Married,Metro,South,West-South Central,Rented for cash,0,0,0,0,3,Not working - disabled,Yes,201306.0,Yes,200903.0,More than once a week
119663,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,200904.0,No,200903.0,Once a year or less
120456,"Some college, no degree",Some college,Hispanic,Yes,3,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201108.0,No,200905.0,
121515,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$40,000 to $49,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
122441,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",No,2,A mobile home,"$35,000 to $39,999",Married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,No,200908.0,No,200902.0,More than once a week
